Event_id,Episode,Region_province,Country,Population
1000065,1,Caldas,Colombia,930000 people
1000065,1,Risaralda,Colombia,760000 people
1000065,1,Quindio,Colombia,430000 people
1000066,1,Kamchatskaya oblast',Russian Federation,-
1000067,1,Jawa Timur,Indonesia,33 million people
1000068,1,Morona-Santiago,Ecuador,93000 people
1000068,1,Chimborazo,Ecuador,400000 people
1000069,1,Escuintla,Guatemala,570000 people
1000069,1,Sacatepequez,Guatemala,210000 people
1000069,1,Chimaltenango,Guatemala,390000 people
1000069,1,Suchitepequez,Guatemala,410000 people
1000070,2,Puebla,Mexico,4.5 million people
1000070,2,Mexico,Mexico,10.7 million people
1000070,2,Morelos,Mexico,1.3 million people
1000071,1,Sicilia,Italy,5.2 million people
1000072,7,Bicol,Philippines,3.9 million people
1000073,1,Moquegua,Peru,150000 people
1000073,1,Arequipa,Peru,1.1 million people
1000074,1,Jawa Tengah,Indonesia,30.7 million people
1000074,1,Yogyakarta,Indonesia,3.1 million people
1000075,1,Northern Solomons,Papua New Guinea,130000 people
1000076,1,Sicilia,Italy,5.2 million people
1000077,1,Los Lagos,Chile,980000 people
1000077,1,Araucania,Chile,810000 people
1000078,1,Kamchatskaya oblast',Russian Federation,-
1000080,10,Reykjavik,Iceland,160000 people
1000081,1,East New Britain,Papua New Guinea,170000 people
1000081,1,West New Britain,Papua New Guinea,130000 people
1000082,1,Maluku,Indonesia,2 million people
1000083,1,Lampung,Indonesia,6.5 million people
1000083,1,Jawa Barat,Indonesia,38.1 million people
1000083,1,Jakarta Raya,Indonesia,8.8 million people
1000083,1,Sumatera Selatan,Indonesia,6.6 million people
1000083,1,Bengkulu,Indonesia,1.3 million people
1000083,1,Jawa Tengah,Indonesia,30.7 million people
1000083,1,Christmas I.,Christmas Island,-
1000083,1,Jambi,Indonesia,2.2 million people
1000084,3,Sumatera Barat,Indonesia,4.3 million people
1000085,2,Nusa Tenggara Timur,Indonesia,3.5 million people
1000086,1,Jawa Tengah,Indonesia,30.7 million people
1000086,1,Yogyakarta,Indonesia,3.1 million people
1000087,1,Puebla,Mexico,4.5 million people
1000087,1,Mexico,Mexico,10.7 million people
1000087,1,Morelos,Mexico,1.3 million people
1000088,3,Sulawesi Utara,Indonesia,2.7 million people
1000088,3,Maluku,Indonesia,2 million people
1000088,3,Southern Mindanao,Philippines,4.5 million people
1000088,3,Sulawesi Tengah,Indonesia,1.8 million people
1000088,3,Central Mindanao,Philippines,3.2 million people
1000089,3,Maluku,Indonesia,2 million people
1000090,2,Reykjavik,Iceland,160000 people
1000091,1,Sumatera Barat,Indonesia,4.3 million people
1000092,2,Western Visayas,Philippines,5.4 million people
1000092,2,Central Visayas,Philippines,4.6 million people
1000093,1,Nusa Tenggara Timur,Indonesia,3.5 million people
1000094,2,Calabria,Italy,2.2 million people
1000094,2,Sicilia,Italy,5.2 million people
1000094,2,Basilicata,Italy,630000 people
1000094,2,Campania,Italy,5.8 million people
1000094,2,Puglia,Italy,4.1 million people
1000094,2,Molise,Italy,340000 people
1000094,2,Lazio,Italy,5.2 million people
1000094,2,Malta,Malta,370000 people
1000094,2,Abruzzi,Italy,1.3 million people
1000094,2,Vlore,Albania,-
1000094,2,Fier,Albania,260000 people
1000094,2,Nabul,Tunisia,570000 people
1000094,2,Vatican City,Holy See (Vatican City State),<1000 people
1000094,2,Umbria,Italy,830000 people
1000094,2,Marche,Italy,1.4 million people
1000094,2,Croatia,Croatia,-
1000095,2,Sicilia,Italy,5.2 million people
1000096,1,Bay of Plenty,New Zealand,-
1000096,1,East Cape,New Zealand,-
1000096,1,Waikato,New Zealand,39000 people
1000096,1,Hawke's Bay,New Zealand,-
1000096,1,Wanganui-Manawatu,New Zealand,-
1000096,1,Auckland,New Zealand,320000 people
1000096,1,Taranaki,New Zealand,-
1000096,1,Northland,New Zealand,-
1000096,1,Wellington,New Zealand,150000 people
1000097,1,Reykjavik,Iceland,160000 people
1000098,1,Western Visayas,Philippines,5.4 million people
1000098,1,Central Visayas,Philippines,4.6 million people
1000099,1,Nusa Tenggara Timur,Indonesia,3.5 million people
211060,11,Sicilia,Italy,5.2 million people
252010,1,West New Britain,Papua New Guinea,130000 people
261080,3,Sumatera Utara,Indonesia,9.3 million people
352090,7,Morona-Santiago,Ecuador,93000 people
352090,7,Chimborazo,Ecuador,400000 people
