Event_id,Episode,Lat/Lon,Event_date,Exposed_Population30km,Exposed_Population100km,VEI,PEI,Event_summary
1000059,1,"14.473 , -90.88",13 Dec 2022 08:07 UTC,About 1230000 people within 30km,About 8730000 people within 100km,4,5,Volcanic eruption Fuego is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000060,1,"-0.677 , -78.436",21 Dec 2022 07:32 UTC,About 140000 people within 30km,About 4390000 people within 100km,5,4,Volcanic eruption Cotopaxi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000061,1,"19.421 , -155.287",06 Jan 2023 07:41 UTC,About 3000 people within 30km,About 190000 people within 100km,4,3,Volcanic eruption Kilauea is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000062,1,"-7.54 , 110.446",12 Mar 2023 18:10 UTC,About 4440000 people within 30km,About 24400000 people within 100km,4,7,Volcanic eruption Merapi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000063,1,"-1.408 , 29.2",14 Mar 2023 13:45 UTC,About 810000 people within 30km,About 10040000 people within 100km,3,5,Volcanic eruption Nyamuragira is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000064,1,"-6.102 , 105.423",31 Mar 2023 07:40 UTC,About 7000 people within 30km,About 7380000 people within 100km,6,4,Volcanic eruption Krakatau is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000065,1,"4.892 , -75.324",05 Apr 2023 07:17 UTC,About 510000 people within 30km,About 4350000 people within 100km,4,5,"Volcanic eruption Ruiz, Nevado del is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability."
1000066,1,"56.653 , 161.36",12 Apr 2023 07:41 UTC,About 300 people within 30km,About 5000 people within 100km,5,2,Volcanic eruption Sheveluch is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000067,1,"-8.108 , 112.922",19 Apr 2023 20:00 UTC,About 870000 people within 30km,About 19740000 people within 100km,3,5,Volcanic eruption Semeru is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000068,1,"-2.005 , -78.341",24 Apr 2023 08:43 UTC,About 19000 people within 30km,About 1530000 people within 100km,3,3,Volcanic eruption Sangay is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000069,1,"14.473 , -90.88",05 May 2023 07:33 UTC,About 1230000 people within 30km,About 8730000 people within 100km,4,5,Volcanic eruption Fuego is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000070,2,"19.023 , -98.622",23 May 2023 08:48 UTC,About 640000 people within 30km,About 27990000 people within 100km,5,5,Volcanic eruption Popocatepetl is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000071,1,"37.748 , 14.999",21 May 2023 23:51 UTC,About 940000 people within 30km,About 2750000 people within 100km,5,5,Volcanic eruption Etna is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000072,7,"13.257 , 123.685",01 Aug 2023 08:44 UTC,About 1260000 people within 30km,About 4460000 people within 100km,4,6,Volcanic eruption Mayon is expected to have a medium humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000073,1,"-16.355 , -70.903",03 Jul 2023 11:37 UTC,About 15000 people within 30km,About 1120000 people within 100km,5,3,Volcanic eruption Ubinas is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000074,1,"-7.54 , 110.446",05 Jul 2023 14:49 UTC,About 4440000 people within 30km,About 24400000 people within 100km,4,7,Volcanic eruption Merapi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000075,1,"-6.137 , 155.196",20 Jul 2023 07:40 UTC,About 14000 people within 30km,About 160000 people within 100km,4,2,Volcanic eruption Bagana is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000076,1,"37.748 , 14.999",13 Aug 2023 21:12 UTC,About 940000 people within 30km,About 2750000 people within 100km,5,5,Volcanic eruption Etna is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000077,1,"-39.42 , -71.93",26 Sep 2023 10:03 UTC,About 43000 people within 30km,About 300000 people within 100km,5,3,Volcanic eruption Villarrica is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000078,1,"56.056 , 160.642",01 Nov 2023 22:10 UTC,Few people affected,About 8000 people within 100km,4,2,Volcanic eruption Klyuchevskoy is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000080,10,"63.817 , -22.717",18 Mar 2024 08:51 UTC,About 30000 people within 30km,About 290000 people within 100km,4,4,Volcanic eruption Reykjanes is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000081,1,"-5.05 , 151.33",20 Nov 2023 19:15 UTC,About 15000 people within 30km,About 87000 people within 100km,4,2,Volcanic eruption Ulawun is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000082,1,"1.693 , 127.894",22 Nov 2023 23:00 UTC,About 160000 people within 30km,About 630000 people within 100km,3,3,Volcanic eruption Dukono is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000083,1,"-6.102 , 105.423",27 Nov 2023 21:08 UTC,About 7000 people within 30km,About 7380000 people within 100km,6,4,Volcanic eruption Krakatau is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000084,3,"-0.38 , 100.474",29 Feb 2024 22:30 UTC,About 1190000 people within 30km,About 4450000 people within 100km,2,5,Volcanic eruption Marapi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000085,2,"-8.542 , 122.775",11 Jan 2024 19:00 UTC,About 84000 people within 30km,About 740000 people within 100km,3,5,Volcanic eruption Lewotobi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000086,1,"-7.54 , 110.446",23 Jan 2024 08:31 UTC,About 4490000 people within 30km,About 23640000 people within 100km,4,7,Volcanic eruption Merapi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000087,1,"19.023 , -98.622",28 Feb 2024 07:23 UTC,About 720000 people within 30km,About 26800000 people within 100km,5,5,Volcanic eruption Popocatepetl is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000088,3,"2.3 , 125.37",29 Apr 2024 23:40 UTC,About 25000 people within 30km,About 360000 people within 100km,4,4,Volcanic eruption Ruang is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000089,3,"1.488 , 127.63",30 May 2024 23:30 UTC,About 58000 people within 30km,About 850000 people within 100km,2,4,Volcanic eruption Ibu is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000090,2,"63.817 , -22.717",09 Jun 2024 13:14 UTC,About 30000 people within 30km,About 290000 people within 100km,4,2,Volcanic eruption Reykjanes is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000091,1,"-0.38 , 100.474",30 May 2024 18:54 UTC,About 1190000 people within 30km,About 4450000 people within 100km,2,6,Volcanic eruption Marapi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000092,2,"10.412 , 123.132",09 Jun 2024 22:20 UTC,About 870000 people within 30km,About 10790000 people within 100km,2,6,Volcanic eruption Kanlaon is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000093,1,"-8.542 , 122.775",18 Jun 2024 21:50 UTC,About 84000 people within 30km,About 740000 people within 100km,3,4,Volcanic eruption Lewotobi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000094,2,"38.789 , 15.213",11 Jul 2024 18:52 UTC,About 900 people within 30km,About 1220000 people within 100km,3,3,Volcanic eruption Stromboli is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000095,2,"37.748 , 14.999",23 Jul 2024 07:54 UTC,About 950000 people within 30km,About 2830000 people within 100km,5,5,Volcanic eruption Etna is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000096,1,"-37.52 , 177.18",22 Aug 2024 00:33 UTC,No people affected,About 210000 people within 100km,3,2,Volcanic eruption White Island is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000097,1,"63.817 , -22.717",22 Aug 2024 21:43 UTC,About 30000 people within 30km,About 290000 people within 100km,4,2,Volcanic eruption Reykjanes is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000098,1,"10.412 , 123.132",13 Sep 2024 08:21 UTC,About 870000 people within 30km,About 10790000 people within 100km,2,6,Volcanic eruption Kanlaon is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000099,1,"-8.542 , 122.775",14 Oct 2024 18:40 UTC,About 84000 people within 30km,About 740000 people within 100km,3,4,Volcanic eruption Lewotobi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
211060,11,"37.748 , 14.999",28 Aug 2020 00:00 UTC,About 940000 people within 30km,About 2750000 people within 100km,5,5,Volcanic eruption Etna is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
252010,1,"-5.525 , 148.42",03 Aug 2020 00:00 UTC,About 11000 people within 30km,About 48000 people within 100km,3,3,Volcanic eruption Langila is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
261080,3,"3.17 , 98.392",14 Aug 2020 00:00 UTC,About 260000 people within 30km,About 8200000 people within 100km,2,5,Volcanic eruption Sinabung is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
352090,7,"-2.005 , -78.341",06 Oct 2020 00:00 UTC,About 19000 people within 30km,About 1530000 people within 100km,3,3,Volcanic eruption Sangay is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
