Event_id,Episode,Deaths,Displaced,Region,Countries,From_To,Event_summary
1102943,2,3,-,Burkina Faso,Burkina Faso,01 Sep - 09 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102944,1,0,-,Terra Preta,Brazil,07 Oct - 08 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102945,5,22,-,"Davanagere, Karnataka",India,20 Sep - 07 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102946,1,0,4063,"Kedah, Perlis, Pahang, Perak, Selangor, Johor, Melaka",Malaysia,07 Oct - 09 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102947,1,4,-,Khyber Pakhtunkhwa Province,Pakistan,07 Oct - 10 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102948,1,0,-,Puerto Maldonado,Peru,09 Oct - 10 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102949,1,0,-,Florida,United States,09 Oct - 11 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102950,1,0,200,Kanel,Senegal,01 Oct - 03 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102951,1,0,23,Couvin,Belgium,09 Oct - 11 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102952,3,0,95,Maguindanao,Philippines,12 Oct - 17 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102953,1,2,-,Taifa,Morocco,12 Oct - 14 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102954,1,0,400,Lomé,Togo,12 Oct - 14 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102955,2,0,2,Tamarite de Litera,Spain,11 Oct - 17 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102956,1,0,10,"Sur, Muttrah",Oman,15 Oct - 17 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102957,1,3,9591,Sri Lanka,Sri Lanka,08 Oct - 10 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102958,1,0,-,Mauritania,Mauritania,10 Oct - 12 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102959,1,0,-,Soweto,South Africa,15 Oct - 16 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102960,1,576,-,Lac,Chad,01 Sep - 17 Oct,This flood is expected to have a medium humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102961,3,0,24,"Fano, Marche, Senigallia",Italy,16 Oct - 20 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102962,2,0,150,Ham Thuan Bac,Vietnam,15 Oct - 18 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102963,1,0,-,Mongala,Republic of Congo,09 Oct - 11 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102964,1,3,-,"Mexico, Monterrey",Mexico,16 Oct - 18 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102965,1,0,36,Hajigabul,Azerbaijan,12 Oct - 18 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1102966,1,0,195,"Soubre, Sassandra",Cote d'Ivoire,03 Oct - 05 Oct,This flood is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
